iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"13,44","13,44","0,22"
2,"26,92","13,48","0,22"
3,"40,52","13,60","0,23"
4,"54,22","13,70","0,23"
5,"67,74","13,52","0,23"
6,"81,32","13,58","0,23"
7,"94,88","13,56","0,23"
8,"108,43","13,55","0,23"
9,"122,04","13,61","0,23"
10,"135,62","13,58","0,23"
11,"149,26","13,64","0,23"
12,"162,92","13,66","0,23"
13,"176,52","13,60","0,23"
14,"190,05","13,53","0,23"
15,"203,66","13,61","0,23"
16,"217,29","13,63","0,23"
17,"230,84","13,55","0,23"
18,"244,25","13,41","0,22"
19,"257,86","13,61","0,23"
20,"271,29","13,43","0,22"
21,"284,85","13,56","0,23"
22,"298,46","13,61","0,23"
23,"312,01","13,55","0,23"
24,"325,56","13,55","0,23"
25,"339,08","13,52","0,23"
26,"352,73","13,65","0,23"
27,"366,28","13,55","0,23"
28,"379,86","13,58","0,23"
29,"393,40","13,54","0,23"
30,"406,97","13,57","0,23"
,"210,28","13,57","0,23"
