Consulta,Media do Tempo (segundos) – Sem otimização,Media do Tempo (s) – Depois da Otimização
1,"138,59","135,70"
2,"138,41","1,37"
3,"57,55","89,50"
4,"12,93","7,31"
5,"37,32","11,44"
6,"21,37","22,50"
7,"21,02","9,08"
8,"21,85","30,75"
9,"269,60","377,46"
10,"21,85","14,20"
11,"4,91","1,93"
12,"34,83","132,06"
13,"157,14","36,38"
14,"31,47","105,89"
15,"46,29","42,46"
16,"5,78","3,63"
17,"11,87","3,32"
18,"33,10","129,46"
19,"3,85","2,28"
20,"11,12","6,99"
21,"78,84","151,27"
22,"2,16","1,76"
