Consulta,Média do Tempo Acumulado (segundos),Média do Tempo Absoluto (s),Média Tempo Absoluto (minutos)
1,"2147,93366666667","9,2","0,15"
2,"2145,27233333333","1,93","0,03"
3,"1002,43","1,93","0,03"
4,"246,998666666667","1,92","0,03"
5,,"1,89","0,03"
6,"341,479333333333","21,37","0,353666666666666"
7,,"1,9","0,03"
8,,"1,9","0,03"
9,,"1,91","0,03"
10,,"1,91","0,03"
11,,"1,93","0,03"
12,,"1,91","0,03"
13,,"1,92","0,03"
14,,"1,96","0,03"
15,,"1,96","0,03"
16,,"1,93","0,03"
17,,"1,93","0,03"
18,,"1,9","0,03"
19,,"1,94","0,03"
20,,"1,91","0,03"
21,,"1,91","0,03"
22,,"1,93","0,03"
